    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.016000    4.37997     -2.500000       0.201354        0.202505        0.0001039409    2.808302e-05    2.864768e-07
  0.017000    4.65372     -2.500000       0.201956        0.203110        0.0001039157    2.546605e-05    2.691441e-07
  0.018000    4.92747     -2.500000       0.202518        0.203674        0.0001038692    2.319877e-05    2.541716e-07
  0.019000    5.20122     -2.500000       0.203045        0.204203        0.0001038019    2.1218e-05      2.410927e-07
  0.020000    5.47497     -2.500000       0.203541        0.204702        0.000103705     1.947452e-05    2.295517e-07
  0.020200    5.52972     -2.500000       0.203638        0.204799        0.0001037221    1.915082e-05    2.274032e-07
  0.020400    5.58447     -2.500000       0.203732        0.204894        0.0001037281    1.883472e-05    2.253019e-07
  0.020600    5.63922     -2.500000       0.203826        0.204988        0.0001036761    1.852609e-05    2.232479e-07
  0.020800    5.69397     -2.500000       0.203918        0.205081        0.000103717     1.822458e-05    2.212387e-07
  0.021000    5.74872     -2.500000       0.204010        0.205173        0.000103647     1.792999e-05    2.192726e-07
  0.021200    5.80347     -2.500000       0.204101        0.205264        0.0001036763    1.764214e-05    2.173482e-07
  0.021400    5.85822     -2.500000       0.204191        0.205354        0.0001036297    1.736073e-05    2.154632e-07
  0.021600    5.91297     -2.500000       0.204279        0.205443        0.0001037516    1.70857e-05     2.136157e-07
  0.021800    5.96772     -2.500000       0.204368        0.205532        0.0001037103    1.681675e-05    2.118055e-07
  0.022000    6.02246     -2.500000       0.204455        0.205619        0.0001036777    1.655365e-05    2.100326e-07
  0.022200    6.07721     -2.500000       0.204541        0.205706        0.0001036324    1.629628e-05    2.082946e-07
  0.022400    6.13196     -2.500000       0.204626        0.205792        0.0001035701    1.604449e-05    2.06589e-07
  0.022600    6.18671     -2.500000       0.204711        0.205877        0.0001035938    1.579809e-05    2.049147e-07
  0.022800    6.24146     -2.500000       0.204795        0.205961        0.0001036228    1.555689e-05    2.03272e-07
  0.023000    6.29621     -2.500000       0.204877        0.206044        0.0001035943    1.532078e-05    2.0166e-07
  0.023200    6.35096     -2.500000       0.204959        0.206126        0.0001036335    1.508951e-05    2.000774e-07
  0.023400    6.40571     -2.500000       0.205040        0.206207        0.0001035315    1.486313e-05    1.985226e-07
  0.023600    6.46046     -2.500000       0.205121        0.206288        0.0001035661    1.464135e-05    1.969941e-07
  0.023800    6.51521     -2.500000       0.205201        0.206368        0.0001036001    1.442408e-05    1.95493e-07
  0.024000    6.56996     -2.500000       0.205279        0.206447        0.0001035772    1.421119e-05    1.940144e-07
  0.025000    6.84371     -2.500000       0.205664        0.206833        0.0001035313    1.320837e-05    1.869864e-07
  0.026000    7.11746     -2.500000       0.206031        0.207202        0.0001034867    1.229857e-05    1.804802e-07
