reaction,Q_keV,alpha,beta,gamma
Be11dTOBe12p,946.122,7.4382519,0,-10.979288
Be11dTOLi9a,5933.07,0.72237103,0,-68.850384
Be11nTOBe12g,3170.69,3.5079847e+10,1.5,-36.794308
Be11pTOB11n,10727.1,0.49984572,0,-124.483
Be11pTOB12g,14096.7,1.1688267e+10,1.5,-163.58589
Be11pTOBe10d,1722.93,0.54477808,0,-19.993751
Be11pTOBe9t,1167.88,0.13055947,0,-13.552687
Be11pTOLi8a,4095.43,0.16270048,0,-47.525436
Be11tTOB13n,10493.8,2.0135459,0,-121.77506
Be11tTOB14g,11463,2.8798752e+10,1.5,-133.02237
Be12He3TOB14p,9056.05,0.82241401,0,-105.09107
Be12He3TOBe11a,17406.9,0.74550937,0,-201.99907
Be12He3TOC14n,28917.8,4.1135717,0,-335.57722
Be12He3TOC15g,30135.9,3.7053083e+10,1.5,-349.71282
Be12aTOC15n,9558.3,1.4168163,0,-110.91944
Be12aTOC16g,13808.7,5.1410649e+10,1.5,-160.24349
Be12dTOB13n,13580.3,0.93929136,0,-157.59289
Be12dTOB14g,14549.5,1.343422e+10,1.5,-168.8402
Be12pTOB12n,10926.1,0.33319038,0,-126.79158
Be12pTOB13g,15804.9,4.4298307e+09,1.5,-183.40791
Be12pTOBe10t,4809.47,0.25413145,0,-55.811584
Be12pTOLi9a,4986.95,0.097115699,0,-57.871096
Be12tTOB14n,8292.29,0.82094863,0,-96.228062
Be12tTOB15g,11070.6,1.8492886e+10,1.5,-128.4691
Be7He3TOC10g,15001.5,2.423202e+11,1.5,-174.08575
Be7He3TOaapp,11272.4,1.2201353e-19,-3,-130.81129
Be7He3TOppaa,11272.4,1.2201353e-19,-3,-130.81129
Be7aTOC11g,7544.52,4.0181896e+10,1.5,-87.550471
Be7dTOaap,16765.9,9.9655197e-10,-1.5,-194.56042
Be7nTOLi7p,1644.24,1.0021491,0,-19.080637
Be7nTOaa,18990.5,4.6998798,0,-220.37544
Be7pTOB8g,136.371,1.3052575e+10,1.5,-1.5825205
Be7tTOB10g,18668.2,3.464444e+10,1.5,-216.63546
Be7tTOBe9p,12081.4,3.5583331,0,-140.19871
Be7tTOLi6a,14207,2.197865,0,-164.86556
Be7tTOLi7He3,880.487,1.0003635,0,-10.217628
Be7tTOaad,12733.3,2.8720387e-10,-1.5,-147.7633
Be7tTOaanp,10508.7,6.0898063e-20,-3,-121.94828
Be9He3TOB10d,1093.33,0.59602569,0,-12.687626
Be9He3TOB11p,10323,3.8353246,0,-119.79332
Be9He3TOC11n,7558.95,3.8265847,0,-87.717981
Be9He3TOC12g,26279.7,2.6899788e+11,1.5,-304.96289
Be9He3TOaaa,19004.9,1.3427307e-09,-1.5,-220.54295
Be9aTOC12n,5702.05,10.2858,0,-66.169517
Be9aTOC13g,10648.4,9.1155467e+10,1.5,-123.56905
Be9dTOB10n,4362.24,2.0644299,0,-50.621737
Be9dTOB11g,15816.5,6.2650434e+10,1.5,-183.54245
Be9dTOBe10p,4587.71,14.478412,0,-53.238185
Be9dTOLi7a,7152.15,1.5589608,0,-82.997278
Be9dTOaat,4684.53,2.8006146e-10,-1.5,-54.361716
Be9nTOBe10g,6812.28,6.8282235e+10,1.5,-79.053205
Be9pTOB10g,6586.81,9.7361428e+09,1.5,-76.436757
Be9pTOLi6a,2125.62,0.61766701,0,-24.666851
Be9pTOaad,651.866,8.0713035e-11,-1.5,-7.5645958
Be9pTOaapn,-1572.7,1.7114211e-20,-3,18.250424
Be9tTOB11n,9559.23,3.8284908,0,-110.93031
Be9tTOB12g,12928.9,8.9524472e+10,1.5,-150.0332
Be9tTOBe10d,555.048,4.1726432,0,-6.4410646
