name,reactants,products,source,ref
C15aTOO18n,C15+He4,O18+n,tabulated,TALYS2
C15aTOO19g,C15+He4,O19+g,tabulated,TALYS2
C15nTOC16g,C15+n,C16+g,tabulated,TALYS2
C15pTOB12a,C15+p,B12+He4,tabulated,TALYS2
C15pTOC14d,C15+p,C14+H2,tabulated,TALYS2
C15pTON15n,C15+p,N15+n,tabulated,TALYS2
C15pTON16g,C15+p,N16+g,tabulated,TALYS2
C16TON16Bm,C16,N16+Bm,analytic,Aud03
C9TOaapBp,C9,He4+He4+p+Bp,analytic,Aud03
C9aTON12p,C9+He4,N12+p,analytic,Wie89
C9aTOO13g,C9+He4,O13+g,tabulated,TALYS2
C9dTOC10p,C9+H2,C10+p,tabulated,TALYS2
C9nTOB8d,C9+n,B8+H2,tabulated,TALYS2
C9nTOBe7He3,C9+n,Be7+He3,tabulated,TALYS2
C9nTOC10g,C9+n,C10+g,tabulated,TALYS2
C9tTOB8a,C9+H3,B8+He4,tabulated,TALYS2
C9tTOC11p,C9+H3,C11+p,tabulated,TALYS2
C9tTON12g,C9+H3,N12+g,tabulated,TALYS2
F17TOO17Bp,F17,O17+Bp,analytic,Aud03
F17aTONa21g,F17+He4,Na21+g,tabulated,TALYS2
F17aTONe20p,F17+He4,Ne20+p,tabulated,TALYS2
F17nTOF18g,F17+n,F18+g,tabulated,TALYS2
F17nTON14a,F17+n,N14+He4,analytic,NACRE
F17nTOO17p,F17+n,O17+p,tabulated,TALYS2
F17pTONe18g,F17+p,Ne18+g,tabulated,ILCCF10
F18TOO18Bp,F18,O18+Bp,analytic,Aud03
F18aTONa22g,F18+He4,Na22+g,tabulated,TALYS2
F18aTONe21p,F18+He4,Ne21+p,tabulated,TALYS2
F18nTOF19g,F18+n,F19+g,tabulated,TALYS2
F18nTON15a,F18+n,N15+He4,analytic,CF88
F18nTOO18p,F18+n,O18+p,tabulated,TALYS2
F18pTONe19g,F18+p,Ne19+g,tabulated,ILCCF10
F18pTOO15a,F18+p,O15+He4,tabulated,ILCCF10
F19aTONa23g,F19+He4,Na23+g,tabulated,TALYS2
F19aTONe22p,F19+He4,Ne22+p,tabulated,TALYS2
F19nTOF20g,F19+n,F20+g,tabulated,TALYS2
F19pTONe20g,F19+p,Ne20+g,tabulated,NACRE
F19pTOO16a,F19+p,O16+He4,tabulated,NACRE
F20TONe20Bm,F20,Ne20+Bm,analytic,Aud03
He3He3TOapp,He3+He3,He4+p+p,tabulated,NACRE II
He3aTOBe7g,He3+He4,Be7+g,tabulated,Ili16
He3dTOap,He3+H2,He4+p,tabulated,deSouza19b
He3nTOag,He3+n,He4+g,analytic,Wag69
He3nTOtp,He3+n,H3+p,tabulated,DAACV04
He3tTOLi6g,He3+H3,Li6+g,analytic,FK90
He3tTOad,He3+H3,He4+H2,analytic,CF88
He3tTOanp,He3+H3,He4+n+p,analytic,CF88
He6TOLi6Bm,He6,Li6+Bm,analytic,Aud03
Li6He3TOBe7d,Li6+He3,Be7+H2,tabulated,TALYS2
Li6He3TOaap,Li6+He3,He4+He4+p,tabulated,TALYS2
Li6aTOB10g,Li6+He4,B10+g,analytic,CF88
Li6dTOBe7n,Li6+H2,Be7+n,analytic,MF89
Li6dTOLi7p,Li6+H2,Li7+p,analytic,MF89
Li6nTOLi7g,Li6+n,Li7+g,analytic,MF89
Li6nTOta,Li6+n,H3+He4,analytic,CF88
Li6pTOBe7g,Li6+p,Be7+g,tabulated,NACRE II
Li6pTOHe3a,Li6+p,He3+He4,tabulated,NACRE II
Li6tTOBe9g,Li6+H3,Be9+g,tabulated,TALYS2
Li6tTOLi7d,Li6+H3,Li7+H2,tabulated,TALYS2
Li6tTOLi8p,Li6+H3,Li8+p,tabulated,TALYS2
Li6tTOaan,Li6+H3,He4+He4+n,tabulated,TALYS2
Li7He3TOB10g,Li7+He3,B10+g,tabulated,TALYS2
Li7He3TOBe9p,Li7+He3,Be9+p,tabulated,TALYS2
Li7He3TOLi6a,Li7+He3,Li6+He4,tabulated,TALYS2
Li7He3TOaad,Li7+He3,He4+He4+H2,tabulated,TALYS2
Li7He3TOaanp,Li7+He3,He4+He4+n+p,analytic,CF88&MF89
Li7aTOB10n,Li7+He4,B10+n,analytic,NACRE
Li7aTOB11g,Li7+He4,B11+g,tabulated,NACRE II
Li7dTOBe9g,Li7+H2,Be9+g,tabulated,CGXSV12
Li7dTOLi8p,Li7+H2,Li8+p,analytic,MF89
Li7dTOaan,Li7+H2,He4+He4+n,tabulated,CGXSV12
Li7nTOLi8g,Li7+n,Li8+g,analytic,MF89&Hei98
Li7pTOaa,Li7+p,He4+He4,tabulated,DAACV04
Li7pTOaag,Li7+p,He4+He4+g,tabulated,NACRE II
Li7tTOBe10g,Li7+H3,Be10+g,tabulated,TALYS2
Li7tTOBe9n,Li7+H3,Be9+n,tabulated,CGXSV12
Li7tTOaann,Li7+H3,He4+He4+n+n,analytic,CF88&MF89
Li8He3TOB10n,Li8+He3,B10+n,tabulated,TALYS2
Li8He3TOB11g,Li8+He3,B11+g,tabulated,TALYS2
Li8He3TOBe10p,Li8+He3,Be10+p,tabulated,TALYS2
Li8He3TOBe9d,Li8+He3,Be9+H2,tabulated,TALYS2
Li8He3TOLi7a,Li8+He3,Li7+He4,tabulated,TALYS2
Li8He3TOaat,Li8+He3,He4+He4+H3,tabulated,TALYS2
Li8TOaaBm,Li8,He4+He4+Bm,analytic,Aud03
Li8aTOB11n,Li8+He4,B11+n,tabulated,CGXSV12
Li8aTOB12g,Li8+He4,B12+g,tabulated,TALYS2
Li8dTOBe10g,Li8+H2,Be10+g,tabulated,TALYS2
Li8dTOBe9n,Li8+H2,Be9+n,analytic,Bal95
Li8dTOLi7t,Li8+H2,Li7+H3,analytic,Has09c
Li8dTOLi9p,Li8+H2,Li9+p,analytic,Bal95
Li8nTOLi9g,Li8+n,Li9+g,analytic,Rau94
Li8pTOBe9g,Li8+p,Be9+g,analytic,TUNL&Cam08
Li8pTOaan,Li8+p,He4+He4+n,analytic,Men12
Li8tTOBe10n,Li8+H3,Be10+n,tabulated,TALYS2
Li8tTOBe11g,Li8+H3,Be11+g,tabulated,TALYS2
Li9He3TOB11n,Li9+He3,B11+n,tabulated,TALYS2
Li9He3TOB12g,Li9+He3,B12+g,tabulated,TALYS2
Li9He3TOBe10d,Li9+He3,Be10+H2,tabulated,TALYS2
Li9He3TOBe11p,Li9+He3,Be11+p,tabulated,TALYS2
Li9He3TOBe9t,Li9+He3,Be9+H3,tabulated,TALYS2
Li9He3TOLi8a,Li9+He3,Li8+He4,tabulated,TALYS2
Li9TOBe9Bm,Li9,Be9+Bm,analytic,Aud03
Li9TOaanBm,Li9,He4+He4+n+Bm,analytic,Aud03
Li9aTOB12n,Li9+He4,B12+n,tabulated,CGXSV12
Li9aTOB13g,Li9+He4,B13+g,tabulated,TALYS2
Li9dTOBe10n,Li9+H2,Be10+n,tabulated,TALYS2
Li9dTOBe11g,Li9+H2,Be11+g,tabulated,TALYS2
Li9dTOLi8t,Li9+H2,Li8+H3,tabulated,TALYS2
Li9pTOBe10g,Li9+p,Be10+g,tabulated,TALYS2
Li9pTOBe9n,Li9+p,Be9+n,tabulated,TALYS2
Li9pTOHe6a,Li9+p,He6+He4,tabulated,=li7pa
Li9pTOLi7t,Li9+p,Li7+H3,tabulated,TALYS2
Li9tTOBe11n,Li9+H3,Be11+n,tabulated,TALYS2
Li9tTOBe12g,Li9+H3,Be12+g,tabulated,TALYS2
N12TOC12Bp,N12,C12+Bp,analytic,Aud03
N12aTOO15p,N12+He4,O15+p,tabulated,TALYS2
N12nTOC11d,N12+n,C11+H2,tabulated,TALYS2
N12nTOC12p,N12+n,C12+p,tabulated,TALYS2
N12nTON13g,N12+n,N13+g,tabulated,TALYS2
N12pTOO13g,N12+p,O13+g,tabulated,TALYS2
N13TOC13Bp,N13,C13+Bp,analytic,Aud03
N13aTOF17g,N13+He4,F17+g,tabulated,TALYS2
N13nTOC12d,N13+n,C12+H2,tabulated,TALYS2
N13nTOC13p,N13+n,C13+p,tabulated,TALYS2
N13nTON14g,N13+n,N14+g,tabulated,TALYS2
N13pTOO14g,N13+p,O14+g,tabulated,NACRE II
N14aTOF18g,N14+He4,F18+g,tabulated,ILCCF10
N14nTOC14p,N14+n,C14+p,analytic,CF88
N14nTON15g,N14+n,N15+g,tabulated,TALYS2
