# T[K] Gamma_pTOn[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
1.801282728899175167e+09 3.913297322526943997e-04
1.886611109245975256e+09 6.333956426432146066e-04
1.975981571591228724e+09 1.010712365430668129e-03
2.069585592988827705e+09 1.593024028946073796e-03
2.167623720932655334e+09 2.484775365563849855e-03
2.270306003031436920e+09 3.842053146771264201e-03
2.377852437037762642e+09 5.897844690457368540e-03
2.490493442195304871e+09 8.999197154569215512e-03
2.608470352914214611e+09 1.366043047598258960e-02
2.732035935832361221e+09 2.064057337380721668e-02
2.861454931370234489e+09 3.105149865884190841e-02
2.997004620939734936e+09 4.650974534520020687e-02
3.138975421022267342e+09 6.934902973116294222e-02
3.287671505388730526e+09 1.029093027563445228e-01
3.443411456794701099e+09 1.519332641100873127e-01
3.606528949546919346e+09 2.230947993758360115e-01
3.777373464403704166e+09 3.257268195075483930e-01
3.956311037340701103e+09 4.727809749451410970e-01
4.143725043786407948e+09 6.820832740167001029e-01
4.340017020007625580e+09 9.780606955931551161e-01
4.545607523404695511e+09 1.393952879409929846e+00
4.760937033559601784e+09 1.974701251467737118e+00
4.986466895967714310e+09 2.780919641273339238e+00
5.222680310474769592e+09 3.893671689897178823e+00
5.470083366537114143e+09 5.421359995566182199e+00
5.729206127523020744e+09 7.507782763305853813e+00
6.000603766378561974e+09 1.034370905514769134e+01
6.284857755090764046e+09 1.418050142860544760e+01
6.582577110496818542e+09 1.934948495951531555e+01
6.894399699108365059e+09 2.628454952016512891e+01
