# T[K] Gamma_nTOp[1/s]
# fingerprint_hash: 4fdc559c1b4cbbf9
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"analytic_distortions":false,"delta_xi_nu":0.0,"external_scale_factor":false,"finite_mass_corrections":true,"format_version":2,"incomplete_decoupling":true,"munuOverTnu":0.0,"n_temperature_table":2000,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","nevo_grid_file":null,"nevo_spectral_file":null,"radiative_corrections":true,"sampling_nTOp":200,"spectral_distortions":true,"thermal_corrections":true,"thermal_fingerprint_hash":"c21cbe75255f86fb","y_SZ":0.0}
7.220993603746511459e+09 2.861092575293475306e+02
7.563058554915418625e+09 3.504074375992371984e+02
7.921327429981652260e+09 4.294284179450403371e+02
8.296567823370694160e+09 5.266018402662571134e+02
8.689583691145269394e+09 6.461720570828412065e+02
9.101217073488599777e+09 7.933997544543192362e+02
9.532349898783620834e+09 9.747939708528004985e+02
9.983905873152660370e+09 1.198431770685820993e+03
1.045685245950651550e+10 1.474317169748854212e+03
1.095220295034280777e+10 1.814877839364792635e+03
1.147101863873471642e+10 2.235538312356111419e+03
1.201441109216115379e+10 2.755440544759753266e+03
1.258354453405078697e+10 3.398408064270646719e+03
1.317963833814153862e+10 4.194026046928053802e+03
1.380396964100008011e+10 5.179101448767753027e+03
1.445787607829922104e+10 6.399444886133705040e+03
1.514275865071468735e+10 7.912054891816279451e+03
1.586008472558225250e+10 9.787955195113756417e+03
1.661139118074601936e+10 1.211558931323295656e+04
1.739828769733362579e+10 1.500517975287072477e+04
1.822246020851322174e+10 1.859417566499912573e+04
1.908567451162081528e+10 2.305395558660843744e+04
1.998978005139805222e+10 2.859831257745521725e+04
2.093671388244474030e+10 3.549396689064049133e+04
2.192850481937620163e+10 4.407391036777602130e+04
2.296727778357814789e+10 5.475378597381668806e+04
2.405525835587034225e+10 6.805275692265095131e+04
2.519477754483444977e+10 8.461929481694655260e+04
2.638827678102181244e+10 1.052632044335309474e+05
2.763831314774128723e+10 1.309969616261348710e+05
2.894756485963434601e+10 1.630854002511966100e+05
3.031883700077460480e+10 2.031100861929135572e+05
3.175506753458745575e+10 2.530487242288764392e+05
3.325933359846393585e+10 3.153725588345634751e+05
3.483485809655603027e+10 3.931744346191028599e+05
3.648501660487985992e+10 4.903201517604676774e+05
3.821334460351841736e+10 6.116458503336962312e+05
4.002354505142093658e+10 7.632037062678422080e+05
4.191949632002719116e+10 9.525594343685588101e+05
4.390526050271486664e+10 1.189186138002357446e+06
4.598509211787198639e+10 1.484926608637077967e+06
4.816344722424354553e+10 1.854600267557001440e+06
5.044499296807847595e+10 2.316754459058981389e+06
5.283461758253464508e+10 2.894575060391934589e+06
5.533744086076338196e+10 3.617093213514830451e+06
5.795882512511563110e+10 4.520598584350164980e+06
6.070438671596701050e+10 5.650499781530193053e+06
6.358000802477999878e+10 7.063620886383622885e+06
6.659185009718277740e+10 8.830954204051466659e+06
6.974636583306761169e+10 1.104132699360658415e+07
7.305031381198823547e+10 1.380576588328217901e+07
7.651077277348162842e+10 1.726315057114784047e+07
8.013515678333279419e+10 2.158700036749924347e+07
8.393123111828080750e+10 2.699396215016262233e+07
8.790712890319580078e+10 3.375505685147015750e+07
9.207136853637718201e+10 4.220843310107508302e+07
9.643287194030070496e+10 5.277652201572642475e+07
1.010009836769212646e+11 6.598662023187731206e+07
1.057854909684846497e+11 8.249618001272450387e+07
1.107966446667433624e+11 1.031271027523151785e+08
1.160451812155009613e+11 1.289002393986649513e+08
