# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: bd1db339284aa88a
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":100.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":null,"nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.423097664755147362e+10 2.348920855483625392e+00 8.913841312197698930e-01
1.599070522068369102e+10 5.514096615093711407e+00 2.252152156163563124e+00
1.796803267882502365e+10 1.224105519598340486e+01 5.424820927944832505e+00
2.018986616861160660e+10 2.612729311808375599e+01 1.256712288956228107e+01
2.268644003451941681e+10 5.419914884286168189e+01 2.814707491326038280e+01
2.549172724284769058e+10 1.101842869157518550e+02 6.127790123442046877e+01
2.864390168025358963e+10 2.205264794936207409e+02 1.306063491096863913e+02
3.218585761771939468e+10 4.360351686047270618e+02 2.737238578121641694e+02
3.616579340873265839e+10 8.531631626083124047e+02 5.635719995533512474e+02
4.063786736454887390e+10 1.657754307793854650e+03 1.145827931768733833e+03
4.566293473157725525e+10 3.198524671573026353e+03 2.301111694484976397e+03
5.130937579955930328e+10 6.134491566809654614e+03 4.580851769391996640e+03
5.765402640929790497e+10 1.172268837697859635e+04 9.030924810105523648e+03
6.478322352213394165e+10 2.231116369663117075e+04 1.770144328969877097e+04
7.279398007910748291e+10 4.232875569467593596e+04 3.442021957216796000e+04
8.179530513709378052e+10 7.999212704570608912e+04 6.655335801595031808e+04
9.190968724610893250e+10 1.507130474933176592e+05 1.280370305140121054e+05
1.032747612533417053e+11 2.836319471883477527e+05 2.453426415247026016e+05
1.160451812155009613e+11 5.324950785705090966e+05 4.677848131318603992e+05
