# T[K] L_nTOpCCRTh L_pTOnCCRTh
# fingerprint_hash: 1b3f42d52e957854
# fingerprint: {"QED_corrections":true,"T_end_MeV":0.001,"T_start_cosmo_MeV":40.0,"format_version":1,"incomplete_decoupling":true,"nevo_file":"NEVOPRIMAT_col_1_7_test_copy.csv","nevo_file_prefix":"NEVOPRIMAT","sampling_nTOp_thermal_per_decade":20}
1.266490086260851479e+10 9.035525606244876329e-01 3.319849990995606404e-01
1.423097664755147362e+10 2.343363894207384668e+00 8.936331959836084637e-01
1.599070522068369102e+10 5.523031813909330623e+00 2.254490662017027525e+00
1.796803267882502365e+10 1.225444692529606172e+01 5.432398410841463132e+00
2.018986616861160660e+10 2.613332376143072722e+01 1.257076541269922565e+01
2.268644003451941681e+10 5.421247591010939004e+01 2.815249706878713809e+01
2.549172724284769058e+10 1.101463996813077841e+02 6.133815849565895206e+01
2.864390168025358963e+10 2.205729735169078367e+02 1.309049199177614753e+02
3.218585761771939468e+10 4.359145801276210932e+02 2.735846820861481774e+02
3.616579340873265839e+10 8.535530838432034670e+02 5.637507791097810923e+02
4.063786736454887390e+10 1.657826906301042982e+03 1.145949530448853011e+03
4.566293473157725525e+10 3.198621601528411247e+03 2.302323565246696489e+03
5.130937579955930328e+10 6.140513803693215777e+03 4.581254453547134290e+03
5.765402640929790497e+10 1.172019431631083717e+04 9.037282233378668025e+03
6.478322352213394165e+10 2.230620716246274606e+04 1.768967148096343954e+04
7.279398007910748291e+10 4.229048442647507181e+04 3.442023875487649639e+04
8.179530513709378052e+10 7.998071552663281909e+04 6.658555400894001650e+04
9.190968724610893250e+10 1.507311687375580950e+05 1.280968039059604052e+05
1.032747612533417053e+11 2.836534819747937727e+05 2.453059877561575559e+05
1.160451812155009613e+11 5.323467002306015929e+05 4.677525970850841259e+05
