# Source: primat qed_pressure.py — QED plasma-pressure corrections delta_P(T)
# delta_P_a [O(e^2), one-loop] and delta_P_e3 [O(e^3), ring/plasmon];
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa, dPe3
# T [MeV]       dP_a [MeV^4]      dP_e3 [MeV^4]      d(dP_a)/dT [MeV^3]  d(dP_e3)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]  d2(dP_e3)/dT2 [MeV^2]
8.353023E-03 -0.000000E+00 0.000000E+00 -1.718458E-33 9.814731E-43 -3.130228E-29 1.787786E-38
8.547985E-03 -0.000000E+00 0.000000E+00 6.488282E-33 -3.705692E-42 1.154907E-28 -6.596089E-38
8.747496E-03 -0.000000E+00 0.000000E+00 -2.449744E-32 1.399137E-41 -4.261061E-28 2.433646E-37
8.951665E-03 -0.000000E+00 0.000000E+00 9.249358E-32 -5.282642E-41 1.572131E-27 -8.979006E-37
9.160598E-03 -0.000000E+00 0.000000E+00 -3.492228E-31 1.994537E-40 -5.800422E-27 3.312830E-36
9.374409E-03 -0.000000E+00 0.000000E+00 1.318541E-30 -7.530661E-40 2.140082E-26 -1.222278E-35
9.593209E-03 -0.000000E+00 0.000000E+00 -4.978338E-30 2.843309E-39 -7.895895E-26 4.509631E-35
9.817117E-03 -0.000000E+00 0.000000E+00 1.879643E-29 -1.073532E-38 2.913213E-25 -1.663841E-34
1.004625E-02 -0.000000E+00 0.000000E+00 -7.096861E-29 4.053273E-38 -1.074838E-24 6.138790E-34
1.028073E-02 -3.988188E-32 3.048785E-41 -2.423038E-28 2.370299E-37 -3.865568E-25 1.062135E-33
1.052069E-02 -1.343439E-31 1.740757E-40 -6.500140E-28 1.193696E-36 -3.011673E-24 6.911598E-33
1.076624E-02 -4.409972E-31 9.561346E-40 -2.076656E-27 6.318604E-36 -8.608061E-24 3.482982E-32
1.101753E-02 -1.411518E-30 5.056549E-39 -6.351779E-27 3.193975E-35 -2.541784E-23 1.690901E-31
1.127468E-02 -4.407801E-30 2.577030E-38 -1.898379E-26 1.560319E-34 -7.282783E-23 7.960389E-31
1.153783E-02 -1.343656E-29 1.266723E-37 -5.537963E-26 7.334983E-34 -2.037853E-22 3.592780E-30
1.180713E-02 -4.000606E-29 6.010348E-37 -1.577905E-25 3.333728E-33 -5.567987E-22 1.571857E-29
1.208271E-02 -1.164045E-28 2.755015E-36 -4.393783E-25 1.461511E-32 -1.486796E-21 6.615493E-29
1.236472E-02 -3.311692E-28 1.220948E-35 -1.196221E-24 6.201629E-32 -3.880635E-21 2.700081E-28
1.265332E-02 -9.217021E-28 5.235450E-35 -3.186288E-24 2.543207E-31 -9.910774E-21 1.062685E-27
1.294865E-02 -2.510793E-27 2.173810E-34 -8.306067E-24 1.010791E-30 -2.476068E-20 4.060175E-27
1.325087E-02 -6.697686E-27 8.746200E-34 -2.120703E-23 3.888898E-30 -6.061277E-20 1.498600E-26
1.356015E-02 -1.750416E-26 3.412399E-33 -5.303573E-23 1.452126E-29 -1.452129E-19 5.376995E-26
1.387665E-02 -4.483989E-26 1.291957E-32 -1.300579E-22 5.256476E-29 -3.415038E-19 1.866338E-25
1.420053E-02 -1.126402E-25 4.749877E-32 -3.125861E-22 1.849392E-28 -7.856178E-19 6.307850E-25
1.453198E-02 -2.776018E-25 1.696891E-31 -7.377534E-22 6.315708E-28 -1.779932E-18 2.064285E-24
1.487115E-02 -6.714914E-25 5.892838E-31 -1.706540E-21 2.098040E-27 -3.932602E-18 6.582875E-24
1.521825E-02 -1.594898E-24 1.991676E-30 -3.885560E-21 6.782552E-27 -8.623121E-18 2.040974E-23
1.557345E-02 -3.721173E-24 6.553714E-30 -8.655969E-21 2.134119E-26 -1.823750E-17 6.156521E-23
1.593694E-02 -8.520698E-24 2.100734E-29 -1.898580E-20 6.541973E-26 -3.859981E-17 1.809660E-22
1.630891E-02 -1.919831E-23 6.564050E-29 -4.096578E-20 1.954759E-25 -7.958123E-17 5.183146E-22
1.668956E-02 -4.254119E-23 2.000444E-28 -8.689159E-20 5.696613E-25 -1.617186E-16 1.447702E-21
1.707910E-02 -9.274282E-23 5.949531E-28 -1.813435E-19 1.620073E-24 -3.232250E-16 3.945417E-21
1.747773E-02 -1.989924E-22 1.727761E-27 -3.725003E-19 4.498739E-24 -6.358440E-16 1.049739E-20
1.788566E-02 -4.203742E-22 4.901922E-27 -7.533793E-19 1.220460E-23 -1.231513E-15 2.728259E-20
1.830312E-02 -8.746477E-22 1.359447E-26 -1.500782E-18 3.236433E-23 -2.349247E-15 6.930133E-20
1.873032E-02 -1.792993E-21 3.687213E-26 -2.945712E-18 8.393583E-23 -4.415428E-15 1.721390E-19
1.916748E-02 -3.622594E-21 9.785772E-26 -5.698747E-18 2.130044E-22 -8.179385E-15 4.183347E-19
1.961486E-02 -7.216060E-21 2.542549E-25 -1.087000E-17 5.291852E-22 -1.493890E-14 9.951645E-19
2.007267E-02 -1.417623E-20 6.470416E-25 -2.044946E-17 1.287708E-21 -2.690972E-14 2.318500E-18
2.054117E-02 -2.747509E-20 1.613579E-24 -3.795549E-17 3.070613E-21 -4.782247E-14 5.292614E-18
2.102061E-02 -5.254958E-20 3.944987E-24 -6.952528E-17 7.178502E-21 -8.387324E-14 1.184375E-17
2.151123E-02 -9.921619E-20 9.460090E-24 -1.257240E-16 1.646046E-20 -1.452167E-13 2.599349E-17
2.201331E-02 -1.849725E-19 2.226036E-23 -2.245068E-16 3.703763E-20 -2.482802E-13 5.597473E-17
2.252711E-02 -3.406188E-19 5.142148E-23 -3.960070E-16 8.181386E-20 -4.193017E-13 1.183212E-16
2.305289E-02 -6.197110E-19 1.166586E-22 -6.901784E-16 1.774917E-19 -6.996729E-13 2.456198E-16
2.359095E-02 -1.114266E-18 2.600332E-22 -1.188845E-15 3.783358E-19 -1.153901E-12 5.009300E-16
2.414157E-02 -1.980542E-18 5.697134E-22 -2.024473E-15 7.926870E-19 -1.881336E-12 1.004111E-15
2.470504E-02 -3.480884E-18 1.227359E-21 -3.409074E-15 1.633141E-18 -3.033222E-12 1.979030E-15
2.528166E-02 -6.050857E-18 2.601011E-21 -5.678204E-15 3.309879E-18 -4.837217E-12 3.836709E-15
2.587174E-02 -1.040579E-17 5.424163E-21 -9.357186E-15 6.601337E-18 -7.632232E-12 7.319274E-15
2.647559E-02 -1.770807E-17 1.113534E-20 -1.525972E-14 1.296117E-17 -1.191737E-11 1.374493E-14
2.709354E-02 -2.982696E-17 2.251185E-20 -2.463313E-14 2.506146E-17 -1.841994E-11 2.541802E-14
2.772591E-02 -4.973825E-17 4.483418E-20 -3.937013E-14 4.773893E-17 -2.818893E-11 4.630425E-14
2.837304E-02 -8.213256E-17 8.799289E-20 -6.231440E-14 8.961763E-17 -4.272209E-11 8.312505E-14
2.903527E-02 -1.343324E-16 1.702443E-19 -9.769721E-14 1.658501E-16 -6.413706E-11 1.471037E-13
2.971296E-02 -2.176616E-16 3.248083E-19 -1.517552E-13 3.026798E-16 -9.539923E-11 2.567088E-13
3.040646E-02 -3.494711E-16 6.112959E-19 -2.335965E-13 5.449253E-16 -1.406224E-10 4.419015E-13
3.111616E-02 -5.561091E-16 1.135225E-18 -3.564033E-13 9.680853E-16 -2.054615E-10 7.506136E-13
3.184242E-02 -8.772367E-16 2.080907E-18 -5.390870E-13 1.697648E-15 -2.976207E-10 1.258489E-12
