# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
1.208271E-02 -1.164045E-28 -4.393783E-25 -1.486796E-21
1.236472E-02 -3.311692E-28 -1.196221E-24 -3.880635E-21
1.265332E-02 -9.217021E-28 -3.186288E-24 -9.910774E-21
1.294865E-02 -2.510793E-27 -8.306067E-24 -2.476068E-20
1.325087E-02 -6.697686E-27 -2.120703E-23 -6.061277E-20
1.356015E-02 -1.750416E-26 -5.303573E-23 -1.452129E-19
1.387665E-02 -4.483989E-26 -1.300579E-22 -3.415038E-19
1.420053E-02 -1.126402E-25 -3.125861E-22 -7.856178E-19
1.453198E-02 -2.776018E-25 -7.377534E-22 -1.779932E-18
1.487115E-02 -6.714914E-25 -1.706540E-21 -3.932602E-18
1.521825E-02 -1.594898E-24 -3.885560E-21 -8.623121E-18
1.557345E-02 -3.721173E-24 -8.655969E-21 -1.823750E-17
1.593694E-02 -8.520698E-24 -1.898580E-20 -3.859981E-17
1.630891E-02 -1.919831E-23 -4.096578E-20 -7.958123E-17
1.668956E-02 -4.254119E-23 -8.689159E-20 -1.617186E-16
1.707910E-02 -9.274282E-23 -1.813435E-19 -3.232250E-16
1.747773E-02 -1.989924E-22 -3.725003E-19 -6.358440E-16
1.788566E-02 -4.203742E-22 -7.533793E-19 -1.231513E-15
1.830312E-02 -8.746477E-22 -1.500782E-18 -2.349247E-15
1.873032E-02 -1.792993E-21 -2.945712E-18 -4.415428E-15
1.916748E-02 -3.622594E-21 -5.698747E-18 -8.179385E-15
1.961486E-02 -7.216060E-21 -1.087000E-17 -1.493890E-14
2.007267E-02 -1.417623E-20 -2.044946E-17 -2.690972E-14
2.054117E-02 -2.747509E-20 -3.795549E-17 -4.782247E-14
2.102061E-02 -5.254958E-20 -6.952528E-17 -8.387324E-14
2.151123E-02 -9.921619E-20 -1.257240E-16 -1.452167E-13
2.201331E-02 -1.849725E-19 -2.245068E-16 -2.482802E-13
2.252711E-02 -3.406188E-19 -3.960070E-16 -4.193017E-13
