# grid rho_e p_e drho_e_dT dp_e_dT
# fingerprint_hash: 930c11db8e5d4639
# fingerprint: {"T_start_cosmo_MeV":40.0,"format_version":1,"n_electron_table":2000}
1.655771987859153072e+01 8.654036156364934868e+04 2.884281530307994399e+04 2.090706887170771006e+04 6.968542632242685613e+03
1.663312739810178797e+01 8.812771469010242436e+04 2.937189670928133273e+04 2.119402460330069880e+04 7.064192354635664742e+03
1.670887834013883833e+01 8.974418308716692263e+04 2.991068287422551293e+04 2.148491882693884327e+04 7.161154897747964242e+03
1.678497426872485221e+01 9.139030078323837370e+04 3.045935180435173243e+04 2.177980559848760095e+04 7.259448280156016153e+03
1.686141675500489256e+01 9.306661160174748511e+04 3.101808477108325314e+04 2.207873971572873779e+04 7.359090767741483432e+03
1.693820737727939019e+01 9.477366934081868385e+04 3.158706637071344085e+04 2.238177672854324555e+04 7.460100877085567845e+03
1.701534772103665105e+01 9.651203795622159669e+04 3.216648458538923296e+04 2.268897294923359368e+04 7.562497378909751205e+03
1.709283937898569405e+01 9.828229174768242228e+04 3.275653084521472920e+04 2.300038546298836081e+04 7.666299301564010420e+03
1.717068395108907097e+01 1.000850155486088042e+05 3.335740009149250545e+04 2.331607213848982428e+04 7.771525934562677321e+03
1.724888304459591737e+01 1.019208049192962062e+05 3.396929084112551209e+04 2.363609163866745439e+04 7.878196832168940091e+03
1.732743827407514203e+01 1.037902663436778676e+05 3.459240525220006384e+04 2.396050343159897966e+04 7.986331817028520163e+03
1.740635126144877276e+01 1.056940174296836049e+05 3.522694919077193481e+04 2.428936780156106761e+04 8.095950983853246726e+03
1.748562363602536962e+01 1.076326871132713713e+05 3.587313229887663329e+04 2.462274586023133452e+04 8.207074703155049065e+03
1.756525703453378284e+01 1.096069158662066475e+05 3.653116806378878391e+04 2.496069955804492201e+04 8.319723625031476331e+03
1.764525310115687162e+01 1.116173559076463425e+05 3.720127388854995661e+04 2.530329169570605882e+04 8.433918683002895705e+03
1.772561348756546806e+01 1.136646714196079556e+05 3.788367116379129584e+04 2.565058593585814378e+04 8.549681097902517649e+03
1.780633985295247257e+01 1.157495387663881120e+05 3.857858534087297448e+04 2.600264681491375086e+04 8.667032381819723014e+03
1.788743386406714109e+01 1.178726467180084728e+05 3.928624600636565447e+04 2.635953975504726986e+04 8.785994342097603294e+03
1.796889719524941498e+01 1.200346966777556518e+05 4.000688695789697522e+04 2.672133107635157648e+04 8.906589085385206999e+03
1.805073152846461326e+01 1.222364029139007907e+05 4.074074628139110428e+04 2.708808800916253313e+04 9.028839021745678110e+03
1.813293855333806803e+01 1.244784927956629253e+05 4.148806642972291593e+04 2.745987870655158986e+04 9.152766868820472155e+03
1.821551996719004762e+01 1.267617070335051394e+05 4.224909430281628011e+04 2.783677225699054907e+04 9.278395656050941398e+03
