1.638543021836560976e-02,1.000003044440433753e+00,1.000003042552858101e+00,1.000003041556821959e+00,1.000003041557272487e+00,4.215585273468231016e-05,2.134889376392834492e-09
1.661358217379381094e-02,1.000003130159754949e+00,1.000003128153567067e+00,1.000003127094809097e+00,1.000003127095571820e+00,4.334109377866391549e-05,2.070994042924212408e-09
1.684491093410732387e-02,1.000003218293721519e+00,1.000003216161697184e+00,1.000003215036622928e+00,1.000003215037271964e+00,4.455973545188007188e-05,1.996343534926836583e-09
1.707946073337489670e-02,1.000003308914924949e+00,1.000003306645309786e+00,1.000003305447652036e+00,1.000003305448323276e+00,4.580565979931526695e-05,1.904432611610218373e-09
1.731727642158373617e-02,1.000003402098363914e+00,1.000003399674410431e+00,1.000003398395070020e+00,1.000003398396295040e+00,4.709273005753772092e-05,1.788156289705966628e-09
1.755840347321565437e-02,1.000003497908199313e+00,1.000003495319723656e+00,1.000003493953830480e+00,1.000003493954613853e+00,4.841605867822221221e-05,1.656520920434445543e-09
1.780288799594251237e-02,1.000003596418266749e+00,1.000003593654716472e+00,1.000003592196798019e+00,1.000003592196962998e+00,4.977666902489360292e-05,1.508844160724720496e-09
1.805077673944286906e-02,1.000003697704474392e+00,1.000003694754917571e+00,1.000003693198700638e+00,1.000003693199271071e+00,5.117561172001690957e-05,1.344431010963376139e-09
1.830211710434130265e-02,1.000003801844862039e+00,1.000003798697974400e+00,1.000003797037744002e+00,1.000003797038218289e+00,5.261396873865405220e-05,1.162576479529775497e-09
1.855695715127220202e-02,1.000003908919660178e+00,1.000003905563714213e+00,1.000003903793313276e+00,1.000003903793647897e+00,5.409285073628688763e-05,9.625671371082944461e-10
1.881534561006986336e-02,1.000004019011352163e+00,1.000004015434203142e+00,1.000004013547062032e+00,1.000004013547602488e+00,5.561340102162770687e-05,7.436866678034448341e-10
1.907733188908639771e-02,1.000004132204736607e+00,1.000004128393810809e+00,1.000004126383468916e+00,1.000004126383890801e+00,5.717679505894191671e-05,5.052154250506646349e-10
